duration,src_bytes,dst_bytes,wrong_fragment,hot,logged_in,num_compromised,count,srv_count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,label
0,244,3252,0,0,1,0,16,16,0.0,1.0,0.0,34,255,1.0,0
0,8,0,0,0,0,0,1,21,0.0,1.0,0.0,1,41,1.0,1
0,242,5278,0,0,1,0,6,11,0.0,1.0,0.0,255,255,1.0,0
0,45,76,0,0,0,0,161,161,0.0,1.0,0.0,255,203,0.8,0
0,1,0,0,0,0,0,13,2,0.0,0.15,0.15,255,29,0.11,1
0,1340,330,0,0,1,0,1,2,0.0,1.0,0.0,255,152,0.6,0
0,236,5056,0,0,1,0,8,40,0.0,1.0,0.0,8,255,1.0,0
11,1161,281,0,0,1,0,1,1,0.0,1.0,0.0,39,113,0.44,0
0,2372,329,0,0,1,0,1,1,0.0,1.0,0.0,93,62,0.67,0
0,567,0,0,0,1,0,1,1,0.0,1.0,0.0,1,73,1.0,0
0,0,0,0,0,0,0,255,18,1.0,0.07,0.06,255,16,0.06,1
0,295,993,0,0,1,0,30,31,0.03,1.0,0.0,255,255,1.0,0
0,867,330,0,0,1,0,1,2,0.0,1.0,0.0,40,15,0.38,0
0,332,2873,0,0,1,0,5,5,0.0,1.0,0.0,255,255,1.0,0
0,8,0,0,0,0,0,1,33,0.0,1.0,0.0,1,23,1.0,1
0,325,746,0,0,1,0,30,31,0.0,1.0,0.0,72,255,1.0,0
0,260,796,0,0,1,0,1,1,0.0,1.0,0.0,8,255,1.0,0
0,0,0,0,0,0,0,108,10,1.0,0.09,0.06,255,9,0.04,1
0,218,1604,0,0,1,0,3,9,0.0,1.0,0.0,21,255,1.0,0
0,225,309,0,0,1,0,5,5,0.0,1.0,0.0,62,255,1.0,0
0,0,0,0,0,0,0,1,1,0.0,1.0,0.0,33,166,1.0,0
0,0,0,0,0,0,0,1,1,0.0,1.0,0.0,162,1,0.01,1
0,0,0,0,0,0,0,109,7,0.0,0.06,0.07,184,7,0.04,1
0,236,1098,0,0,1,0,3,3,0.0,1.0,0.0,24,255,1.0,0
0,1480,0,1,0,0,0,12,12,0.0,1.0,0.0,255,12,0.05,1
0,8,0,0,0,0,0,1,29,0.0,1.0,0.0,2,102,1.0,1
0,1382,334,0,0,1,0,1,1,0.0,1.0,0.0,54,17,0.31,0
0,334,0,0,0,1,0,1,1,0.0,1.0,0.0,5,53,1.0,1
0,0,0,0,0,0,0,259,9,1.0,0.03,0.06,255,12,0.05,1
2,1209,2449,0,28,1,0,1,1,0.0,1.0,0.0,214,42,0.2,1
0,0,0,0,0,0,0,221,16,1.0,0.07,0.06,255,13,0.05,1
0,8,0,0,0,0,0,1,19,0.0,1.0,0.0,1,28,1.0,1
0,207,0,0,0,0,0,2,2,0.0,1.0,0.0,40,32,0.8,1
5,339,279,0,1,1,0,1,1,0.0,1.0,0.0,255,253,0.99,0
7274,147,105,0,0,0,0,1,1,0.0,1.0,0.0,255,1,0.0,0
0,244,150,0,0,1,0,1,28,0.0,1.0,0.0,1,255,1.0,0
0,0,0,0,0,0,0,88,1,1.0,0.01,0.08,255,1,0.0,1
0,182,0,0,0,0,0,1,1,0.0,1.0,0.0,4,1,0.25,0
0,0,0,0,0,0,0,142,6,0.0,0.04,0.07,255,6,0.02,1
0,216,7956,0,0,1,0,1,1,0.0,1.0,0.0,5,255,1.0,0
23,336,1072,0,6,1,0,1,1,0.0,1.0,0.0,99,11,0.1,0
0,373,0,0,0,0,0,24,24,0.0,1.0,0.0,252,128,0.51,0
0,42,42,0,0,0,0,6,6,0.0,1.0,0.0,255,233,0.91,0
0,0,0,0,0,0,0,280,13,1.0,0.05,0.05,255,17,0.07,1
0,8,0,0,0,0,0,1,52,0.0,1.0,0.0,2,14,1.0,1
0,1,0,0,0,0,0,65,38,0.0,0.58,0.06,255,102,0.4,1
0,1480,0,1,0,0,0,1,1,0.0,1.0,0.0,2,1,0.5,1
0,1,0,0,0,0,0,20,5,0.0,0.25,0.15,255,12,0.05,1
0,746,330,0,0,1,0,1,1,0.0,1.0,0.0,151,84,0.56,0
0,347,255,0,0,1,0,21,21,0.0,1.0,0.0,255,255,1.0,0
0,254,386,0,0,1,0,5,5,0.0,1.0,0.0,255,255,1.0,0
0,44,153,0,0,0,0,68,148,0.0,1.0,0.0,255,255,1.0,0
0,45,111,0,0,0,0,18,21,0.0,1.0,0.0,106,228,1.0,0
0,0,0,0,0,0,0,206,16,1.0,0.08,0.06,255,19,0.07,1
0,0,0,0,0,0,0,9,5,1.0,0.56,0.22,255,5,0.02,1
0,0,0,0,0,0,0,136,3,1.0,0.02,0.07,255,1,0.0,1
0,0,0,0,0,0,0,220,7,1.0,0.03,0.08,255,7,0.03,1
0,0,0,0,0,0,0,262,7,1.0,0.03,0.06,255,14,0.05,1
0,216,1412,0,0,1,0,8,8,0.0,1.0,0.0,255,255,1.0,0
0,0,0,0,0,0,0,47,9,1.0,0.19,0.11,255,11,0.04,1
0,0,0,0,0,0,0,91,20,1.0,0.22,0.05,255,20,0.08,1
0,241,12689,0,0,1,0,3,3,0.0,1.0,0.0,255,255,1.0,0
0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,188,1,0.01,1
0,0,0,0,0,0,0,107,25,1.0,0.23,0.05,255,25,0.1,1
0,226,301,0,0,1,0,10,11,0.0,1.0,0.0,255,255,1.0,0
0,0,0,0,0,0,0,131,15,1.0,0.11,0.05,255,14,0.05,1
0,0,0,0,0,0,0,86,20,1.0,0.23,0.06,255,3,0.01,1
0,0,0,0,0,0,0,159,14,1.0,0.09,0.08,255,14,0.05,1
0,259,3430,0,0,1,0,7,10,0.0,1.0,0.0,7,255,1.0,0
2,1253,327,0,0,1,0,1,1,0.0,1.0,0.0,112,82,0.73,0
0,0,0,0,0,0,0,261,10,1.0,0.04,0.05,121,10,0.08,1
0,1,1,0,0,0,0,8,5,0.0,0.62,0.25,255,5,0.02,1
0,330,1539,0,0,1,0,3,7,0.0,1.0,0.0,4,15,1.0,0
1,250697,329,0,0,1,0,1,3,0.0,1.0,0.0,91,247,0.98,0
0,1480,0,1,0,0,0,1,3,0.0,1.0,0.0,1,7,1.0,1
0,208,6271,0,0,1,0,2,2,0.0,1.0,0.0,2,255,1.0,0
6,1138,331,0,0,1,0,1,1,0.0,1.0,0.0,86,152,0.77,0
0,334,327,0,0,1,0,3,21,0.0,1.0,0.0,26,255,1.0,0
0,312,170,0,0,1,0,3,4,0.0,1.0,0.0,71,255,1.0,0
0,302,1170,0,0,1,0,4,4,0.0,1.0,0.0,18,255,1.0,0
0,8,0,0,0,0,0,1,1,0.0,1.0,0.0,2,246,1.0,1
0,0,0,0,0,0,0,232,16,1.0,0.07,0.06,255,22,0.09,1
0,0,0,0,0,0,0,263,8,1.0,0.03,0.06,255,8,0.03,1
0,221,944,0,0,1,0,7,9,0.0,1.0,0.0,255,255,1.0,0
0,95,0,0,0,1,0,1,1,0.0,1.0,0.0,23,104,0.61,0
0,0,0,0,0,0,0,116,10,1.0,0.09,0.07,115,10,0.09,1
0,192,0,0,0,1,0,2,2,0.0,1.0,0.0,164,111,0.6,0
0,0,0,0,0,0,0,86,2,1.0,0.02,0.08,255,2,0.01,1
0,0,0,0,0,0,0,249,12,1.0,0.05,0.05,255,12,0.05,1
0,203,495,0,0,1,0,30,30,0.0,1.0,0.0,255,255,1.0,0
0,292,1718,0,0,1,0,3,3,0.0,1.0,0.0,255,255,1.0,0
0,215,449,0,0,1,0,2,44,0.0,1.0,0.0,180,183,1.0,0
0,0,0,0,0,0,0,488,1,0.08,0.0,0.95,255,1,0.0,1
0,293,1236,0,0,1,0,31,32,0.0,1.0,0.0,146,255,1.0,0
0,295,1993,0,0,1,0,12,12,0.0,1.0,0.0,18,255,1.0,0
0,0,0,0,0,0,0,137,1,1.0,0.01,0.06,255,8,0.03,1
0,213,4025,0,0,1,0,58,59,0.0,1.0,0.0,144,255,1.0,0
0,6601,0,0,0,1,0,6,6,0.0,1.0,0.0,12,41,1.0,0
0,44,137,0,0,0,0,124,129,0.0,1.0,0.0,255,255,1.0,0
0,45,72,0,0,0,0,149,149,0.0,1.0,0.0,255,226,0.89,0
0,44,129,0,0,0,0,76,156,0.0,0.99,0.03,255,254,1.0,0
0,216,985,0,0,1,0,17,18,0.0,1.0,0.0,44,255,1.0,0
0,0,0,0,0,0,0,205,12,0.0,0.06,0.07,255,12,0.05,1
0,0,0,0,0,0,0,296,1,1.0,0.0,0.06,255,3,0.01,1
